,time,max t2m,min t2m,rel. humidity,total precip.,total runoff,surf. moisture,max windgust,disaster_type,hdi_category
0,-365,0.05014062,0.02050454,-0.04189119,0.0126923295,-0.007748414,-0.102253035,0.030982092,Flood,Low sHDI
1,-180,0.049148757,0.01588298,0.017830446,-0.021145632,-0.019023674,-0.057243675,-0.014198062,Flood,Low sHDI
2,-90,-0.02368371,-0.06574145,0.050364923,-0.014043047,-0.019782864,-0.076709844,-0.009139325,Flood,Low sHDI
3,-60,0.02891948,-0.009161093,0.00120311,-0.044076663,-0.024682067,-0.054063663,0.012782423,Flood,Low sHDI
4,-45,0.024952296,-0.002826169,0.039112765,-0.0036936973,0.005194189,0.018784458,-0.03285758,Flood,Low sHDI
5,-30,0.021889776,-0.008762871,0.02418005,0.0061053475,0.00036699313,-0.06028792,0.0187448,Flood,Low sHDI
6,-15,-0.036792576,-0.026444685,0.11571465,0.034675993,0.036981534,0.073396154,-0.022998339,Flood,Low sHDI
7,-7,-0.10779682,0.0053850072,0.22468358,0.15134071,0.114666,0.17191222,-0.011957007,Flood,Low sHDI
8,-1,-0.29125264,-0.02921637,0.445977,0.53887814,0.42374125,0.42214373,0.038240854,Flood,Low sHDI
9,0,-0.41260004,-0.06923472,0.5033784,0.7620444,0.610942,0.5160298,0.13787718,Flood,Low sHDI
10,1,-0.4925049,-0.12968941,0.51222754,0.6551167,0.5645644,0.5686985,0.06922777,Flood,Low sHDI
11,7,-0.23456533,-0.11713686,0.27621692,0.12444808,0.1631738,0.3133748,-0.06134531,Flood,Low sHDI
12,15,-0.093108505,-0.10557671,0.19870533,0.01390378,0.05385036,0.22445656,-0.0699692,Flood,Low sHDI
13,30,-0.1082064,-0.09150882,0.13790059,0.01704543,0.066747196,0.17730336,-0.032705337,Flood,Low sHDI
14,45,-0.0110298665,-0.0112036,0.09686249,-0.00470856,0.040319685,0.12726168,0.0015384598,Flood,Low sHDI
15,60,0.0009067503,-0.023828834,0.043655727,-0.014726261,0.035921887,0.110520534,0.004664358,Flood,Low sHDI
16,90,-0.03490711,-0.060526073,0.062908806,-0.03277822,0.004672037,0.05240761,0.0014482226,Flood,Low sHDI
17,180,0.007130893,-0.05899678,-0.025728073,-0.015802834,-0.012019647,-0.029688608,-0.035714775,Flood,Low sHDI
18,365,0.02862158,-0.0002760796,0.016782878,0.016372934,-0.005591588,-0.03484428,-0.013481407,Flood,Low sHDI
0,-365,0.026354998,0.020185081,0.029370023,-0.011514186,-0.02040421,-0.0059975004,0.03059256,Flood,Medium sHDI
1,-180,-0.017533585,-0.07054041,0.0672524,0.0029249394,0.008526769,0.007139846,-0.007011694,Flood,Medium sHDI
2,-90,-0.012403337,-0.026082661,0.07143152,0.026497453,0.008416922,0.028793098,-0.012157013,Flood,Medium sHDI
3,-60,-0.014133509,-0.024671463,0.03754115,0.023062214,0.02716915,0.05928644,0.01847965,Flood,Medium sHDI
4,-45,-0.033884104,0.0134047745,0.15841126,0.048457716,0.03520719,0.08224776,0.008865114,Flood,Medium sHDI
5,-30,-0.042945635,-0.024162587,0.11471055,0.07589338,0.07627701,0.107514374,-0.030332938,Flood,Medium sHDI
6,-15,-0.0060657654,0.014416631,0.09804593,0.022143126,0.030772852,0.109095804,-0.050215807,Flood,Medium sHDI
7,-7,-0.07869691,0.01588643,0.21248974,0.14543854,0.13846844,0.22810937,-0.017967172,Flood,Medium sHDI
8,-1,-0.25823858,0.08913368,0.4514749,0.60790735,0.54438996,0.50527245,0.09352555,Flood,Medium sHDI
