,time,max t2m,min t2m,rel. humidity,total precip.,total runoff,surf. moisture,max windgust,disaster_type
0,-365,0.049566746,0.031380385,0.014230948,-0.0022762483,-0.0021406896,-0.03139882,0.020315012,Flood
1,-180,0.005711908,-0.0147799775,0.06949373,0.010696593,-0.006830783,0.010694882,-0.007887929,Flood
2,-90,-0.008247613,-0.034717914,0.05848467,-0.0015992367,-0.011212281,0.005723245,-0.0011476442,Flood
3,-60,-0.0021857617,-0.01704035,0.04780124,-0.0054930234,0.008266991,0.021514481,0.0076779723,Flood
4,-45,0.0042465287,0.0037882412,0.09871764,0.020009546,0.012746226,0.068533994,-0.018843256,Flood
5,-30,-0.025239436,-0.022538036,0.078401536,0.038346883,0.03899631,0.06156116,-0.0008070571,Flood
6,-15,-0.020793973,-0.0038549043,0.11607633,0.035010207,0.03279253,0.11534713,-0.03149061,Flood
7,-7,-0.05980993,0.049999397,0.21515043,0.13913125,0.11975564,0.19793761,-0.00304824,Flood
8,-1,-0.23827758,0.118351996,0.49241644,0.6986186,0.6073565,0.5282945,0.15131238,Flood
9,0,-0.39426917,0.09856305,0.61105055,1.1706251,1.0920607,0.6995948,0.32046542,Flood
10,1,-0.48139158,0.021461058,0.60995424,0.9714348,0.97693306,0.7685807,0.24544151,Flood
11,7,-0.17165753,-0.024418443,0.27506182,0.12896386,0.25684592,0.4071908,-0.014098344,Flood
12,15,-0.067344844,-0.016804501,0.17616273,0.01822359,0.13855357,0.2641437,-0.056088153,Flood
13,30,-0.04344233,-0.007899515,0.14411701,0.04084402,0.12744023,0.21805178,-0.046415802,Flood
14,45,-0.02093438,0.002021493,0.105171956,-0.003992264,0.10941913,0.1817754,-0.026218964,Flood
15,60,-0.006545196,-0.03167675,0.06975235,0.0014546193,0.08424716,0.15168923,-0.015148503,Flood
16,90,-0.014498636,-0.022467563,0.07293062,-0.0024896257,0.058969792,0.10658085,0.0020948884,Flood
17,180,-0.016517024,-0.047802787,0.029205251,-0.019180836,0.017730838,0.023030074,-0.007268991,Flood
18,365,0.029595466,0.029161623,0.06214477,0.006265636,-0.009563974,0.013962097,0.003894308,Flood
0,-365,-0.029223865,-0.06461298,0.046469886,-0.0127388,-0.023987502,-0.013986859,-0.0070335907,Storm
