case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,deviation_category,npoints,impact,significance,alpha_sig
High sHDI - better-off : Very high sHDI,1.3641371733588867,0.7416948483744459,2.342871681259068,0.31052212134340673,-0.2988173759635629,0.8513773911710418,All types,0.2901898604466525,High sHDI,better-off,1396,Likelihood affected,.,0.2
High sHDI - nat-average : Very high sHDI,1.6049078218883512,1.1088711432267275,2.3540654892550386,0.4730663230874436,0.10334250975695262,0.8561438288653094,All types,0.014933536252068306,High sHDI,nat-average,1867,Likelihood affected,* ,1
High sHDI - worse-off : Very high sHDI,2.012914779956334,0.9465607306994214,3.701854650629719,0.6995838109161714,-0.054920146947488153,1.3088339509898423,All types,0.043548849771915595,High sHDI,worse-off,1247,Likelihood affected,* ,1
Low sHDI - better-off : Very high sHDI,2.2862535073092602,1.45767086064393,3.5858587043394987,0.826914454810011,0.37683986094394295,1.2769979723819813,All types,2.9626493689843407e-4,Low sHDI,better-off,1411,Likelihood affected, *** ,1
Low sHDI - nat-average : Very high sHDI,3.0476552202158804,2.176960136020132,4.346561595482093,1.114372514699147,0.7779294706562432,1.4693850947196931,All types,2.736673920123426e-10,Low sHDI,nat-average,1857,Likelihood affected, *** ,1
Low sHDI - worse-off : Very high sHDI,4.6272466605072635,3.290731394031806,6.712655635330894,1.531962017453043,1.191109848286825,1.9039946454627894,All types,2.0222002744630132e-17,Low sHDI,worse-off,1656,Likelihood affected, *** ,1
Medium sHDI - better-off : Very high sHDI,1.6677433238013577,1.0553033568326629,2.579411767564127,0.5114714094823161,0.053828267617227074,0.9475613758700753,All types,0.02352014206327631,Medium sHDI,better-off,1557,Likelihood affected,* ,1
Medium sHDI - nat-average : Very high sHDI,2.4703880123073856,1.782518630017384,3.509649460455866,0.9043752283055334,0.5780273248743519,1.2555161636745595,All types,1.5891195228042807e-7,Medium sHDI,nat-average,2133,Likelihood affected, *** ,1
Medium sHDI - worse-off : Very high sHDI,3.117129162069891,2.0957857177423627,4.5592154283183985,1.1369124378701727,0.7399285273310097,1.5171505535297682,All types,8.868312094561004e-9,Medium sHDI,worse-off,1565,Likelihood affected, *** ,1
High sHDI - better-off : Very high sHDI,2.572251113495061,1.0538399974154182,5.371748455542575,0.9447814351612625,0.05244063348689743,1.6811534524608969,Flood,0.02123477101400191,High sHDI,better-off,628,Likelihood affected,* ,1
High sHDI - nat-average : Very high sHDI,2.0815242060339645,1.2895167910927399,3.52830429039817,0.7331004167152125,0.2542675676524994,1.2608173845380777,Flood,0.004428066059421881,High sHDI,nat-average,964,Likelihood affected, ** ,1
High sHDI - worse-off : Very high sHDI,2.7264329354578662,1.1329117226434648,6.000341958189888,1.0029941377801095,0.12479106430909451,1.791816460635662,Flood,0.018880870058566562,High sHDI,worse-off,578,Likelihood affected,* ,1
Low sHDI - better-off : Very high sHDI,2.6900780036503407,1.481860699267494,4.834608381603335,0.9895701908328561,0.3932985273599215,1.5758001290588473,Flood,9.067184556497869e-4,Low sHDI,better-off,681,Likelihood affected, *** ,1
Low sHDI - nat-average : Very high sHDI,4.545897641140629,2.8884949073454695,7.426753422691906,1.514225208929745,1.0607355731583386,2.005088808013754,Flood,4.3549271761574585e-10,Low sHDI,nat-average,978,Likelihood affected, *** ,1
Low sHDI - worse-off : Very high sHDI,6.011378950289914,3.827072535073904,10.008666381938788,1.7936541648730908,1.342100159771633,2.3034513558738703,Flood,1.6560316178002688e-13,Low sHDI,worse-off,853,Likelihood affected, *** ,1
Medium sHDI - better-off : Very high sHDI,2.422836595830407,1.286003681956409,4.503680642310478,0.8849390007779587,0.25153948891895644,1.5048949829750133,Flood,0.005783320213890128,Medium sHDI,better-off,774,Likelihood affected, ** ,1
Medium sHDI - nat-average : Very high sHDI,3.693485224269985,2.325649810568597,6.242960771787118,1.306570517510259,0.8439994884063087,1.8314545525082264,Flood,1.2573529839552884e-7,Medium sHDI,nat-average,1074,Likelihood affected, *** ,1
Medium sHDI - worse-off : Very high sHDI,5.446073395722734,3.214520232510426,9.44344875736197,1.6948948711572163,1.1676781187189862,2.245321247905333,Flood,3.6465489224331175e-10,Medium sHDI,worse-off,753,Likelihood affected, *** ,1
High sHDI - better-off : Very high sHDI,0.12369885706053364,0.02849905699107633,0.5592431988342463,-2.0899052392340307,-3.5578842802873627,-0.5811708399120488,Landslide,0.004376645387809197,High sHDI,better-off,42,Likelihood affected, ** ,1
