case,odds_ratio,ci_low,ci_high,log_odds,ci_log_low,ci_log_high,disaster_type,pvalue,sHDI_category,npoints,impact,significance,alpha_sig
High sHDI : Very high sHDI,1.5919570172660487,1.1378119625367866,2.2863450728278827,0.4649640878529629,0.1291070870221421,0.8269545044741267,All types,0.00984446879028062,High sHDI,2276,Likelihood affected, ** ,1
Low sHDI : Very high sHDI,3.4287175452468444,2.551577830863791,4.77775750879927,1.2321862977482012,0.9367119250205135,1.5639712960040053,All types,1.4651390707861452e-14,Low sHDI,2690,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,2.4314207032166233,1.804752997615748,3.4366199724749316,0.8884757380398117,0.5904237389947499,1.2344884222097532,All types,4.9640736850124885e-8,Medium sHDI,3021,Likelihood affected, *** ,1
High sHDI : Very high sHDI,2.2522260535024134,1.4199257763011308,3.726998274642525,0.8119190842373288,0.3506046000365631,1.315603157562355,Flood,0.0011341653167098345,High sHDI,1176,Likelihood affected, ** ,1
Low sHDI : Very high sHDI,4.704598641650928,3.098537153873046,7.6432560456850025,1.5485404647548964,1.1309301142705313,2.0338236963780107,Flood,1.2852945829412805e-11,Low sHDI,1518,Likelihood affected, *** ,1
Medium sHDI : Very high sHDI,3.765896573768577,2.456190083071308,6.08111869574281,1.3259859667055782,0.8986114026773679,1.8051886750632165,Flood,1.3326674887141858e-8,Medium sHDI,1607,Likelihood affected, *** ,1
High sHDI : Very high sHDI,0.9785902603063159,0.1078241061874702,5.3194726871643025,-0.021642252857700852,-2.2272540259565488,1.6713741794868664,Landslide,0.9842633685287158,High sHDI,77,Likelihood affected,.,0.8
Low sHDI : Very high sHDI,1.7155237397407264,0.419981313060514,7.8643603386863195,0.5397184216005225,-0.8675450614076151,2.0623412030929553,Landslide,0.464521255453425,Low sHDI,136,Likelihood affected,.,0.8
Medium sHDI : Very high sHDI,0.5669498945594739,0.18283965156116258,2.412032090132595,-0.567484348542833,-1.699145731223961,0.8804695831431842,Landslide,0.3925128116585091,Medium sHDI,182,Likelihood affected,.,0.8
High sHDI : Very high sHDI,1.7000712243943432,0.9345104065278562,3.1561377539660955,0.5306701468870829,-0.06773251621716327,1.1493490503093,Storm,0.08341522651057426,High sHDI,755,Likelihood affected,.,0.8
